,open_time,open,high,low,close,volume,close_time,quote_asset_volume,no_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
504,1629945900000,3213.52,3222.59,3212.89,3214.49,8885.206,1629946799999,28587829.69609,14770,4281.075,13775511.94828
505,1629946800000,3214.10,3216.02,3162.03,3167.55,80100.755,1629947699999,254826157.82251,75567,29327.958,93244287.62747
506,1629947700000,3167.56,3171.47,3153.30,3156.72,47803.686,1629948599999,151162302.62353,46362,22889.330,72391004.40997
507,1629948600000,3156.67,3164.71,3145.10,3150.55,36154.852,1629949499999,114073811.74330,38971,17362.040,54791971.00422
508,1629949500000,3150.54,3157.10,3142.00,3150.11,32963.150,1629950399999,103802931.53533,34203,16405.228,51671732.29794
509,1629950400000,3150.11,3158.71,3142.00,3142.10,21658.189,1629951299999,68221615.34684,28563,10251.729,32301094.30139
510,1629951300000,3142.33,3166.31,3136.33,3162.12,35246.792,1629952199999,111048035.48845,37456,16588.098,52301825.42782
511,1629952200000,3162.11,3162.50,3152.16,3153.78,17668.523,1629953099999,55781301.35743,21476,9937.042,31378351.71683
512,1629953100000,3153.78,3160.30,3144.26,3159.51,14385.040,1629953999999,45333686.00491,22057,7434.424,23433143.43521
513,1629954000000,3159.51,3169.00,3150.00,3150.50,22360.374,1629954899999,70684448.82520,27063,10146.275,32088528.50695
514,1629954900000,3150.49,3156.46,3130.40,3133.11,32531.955,1629955799999,102228663.36451,35112,12761.681,40105649.91150
515,1629955800000,3133.12,3137.30,3116.13,3121.49,63248.019,1629956699999,197712500.70024,59636,31358.478,98030059.54398
516,1629956700000,3121.72,3128.58,3106.25,3120.00,45951.616,1629957599999,143261240.74196,49246,23689.314,73876303.90464
517,1629957600000,3119.94,3133.33,3113.00,3132.80,22964.175,1629958499999,71708065.11573,29817,12172.727,38012644.09124
518,1629958500000,3132.96,3133.04,3100.00,3113.39,44537.542,1629959399999,138568548.76797,45072,22953.021,71420935.57854
519,1629959400000,3113.40,3120.00,3100.00,3107.51,40208.671,1629960299999,124978233.96863,44087,18179.079,56517401.33295
520,1629960300000,3107.52,3117.21,3090.13,3093.79,38684.219,1629961199999,120072224.22952,43957,15481.158,48055855.35651
521,1629961200000,3093.86,3094.12,3081.81,3087.98,46963.869,1629962099999,145001210.42612,54277,24008.810,74132821.70455
522,1629962100000,3087.98,3104.41,3061.31,3100.58,88219.704,1629962999999,271686366.50213,84892,43678.272,134535103.40114
523,1629963000000,3100.57,3122.70,3093.06,3121.02,34441.746,1629963899999,106957808.35314,42743,18756.673,58263523.96111
524,1629963900000,3121.03,3122.19,3100.77,3106.81,25338.834,1629964799999,78827361.23157,31784,11267.627,35054692.63756
525,1629964800000,3106.94,3118.15,3093.30,3104.72,35947.314,1629965699999,111654507.20315,39390,17760.399,55175141.13338
526,1629965700000,3104.72,3113.87,3088.02,3098.09,31964.695,1629966599999,99135638.30581,32378,13948.415,43245839.42569
527,1629966600000,3098.09,3105.94,3087.29,3101.05,26780.024,1629967499999,82909573.39435,27081,15423.017,47752743.00016
528,1629967500000,3101.06,3111.70,3090.74,3101.54,21426.196,1629968399999,66472847.26719,26436,11034.535,34233789.19714
529,1629968400000,3101.54,3111.06,3087.70,3094.63,21592.221,1629969299999,66854321.69789,28640,10226.236,31668623.69823
530,1629969300000,3094.62,3107.00,3090.00,3106.86,13615.206,1629970199999,42204877.09938,21742,6912.573,21428498.23957
531,1629970200000,3106.85,3106.86,3095.74,3097.99,18435.457,1629971099999,57144229.26420,19648,8158.798,25285385.53789
532,1629971100000,3098.00,3098.01,3082.75,3085.60,19933.287,1629971999999,61597558.51071,25806,8588.319,26542574.32506
533,1629972000000,3085.60,3104.50,3075.74,3091.52,25825.573,1629972899999,79836425.11899,34260,12830.223,39672386.80546
534,1629972900000,3091.52,3097.68,3083.30,3096.15,18240.345,1629973799999,56368182.75480,25602,10443.298,32276751.95754
535,1629973800000,3096.16,3111.06,3094.00,3107.47,20776.070,1629974699999,64504882.77075,28380,11169.778,34679961.27323
536,1629974700000,3107.22,3107.40,3093.20,3100.00,12294.973,1629975599999,38100355.69608,18829,5423.930,16806680.42335
537,1629975600000,3099.99,3118.50,3092.05,3111.77,20135.749,1629976499999,62602883.23055,29304,10576.243,32878949.57225
538,1629976500000,3111.76,3118.66,3103.67,3107.44,21010.690,1629977399999,65356691.86262,28303,10622.845,33046038.49044
